id,name,description
1,Wireless Mouse,Ergonomic wireless mouse with USB receiver
2,Mechanical Keyboard,Gaming keyboard with RGB backlighting
3,Gaming Chair,Comfortable ergonomic chair for gamers
4,Smartphone Stand,Adjustable aluminum phone holder
5,Bluetooth Speaker,Portable speaker with high-quality sound
6,Webcam,1080p HD webcam with built-in microphone
7,Fitness Tracker,Waterproof smartwatch with heart rate monitoring
8,USB-C Charger,Fast charging adapter for smartphones and tablets
9,Laptop Sleeve,Protective neoprene laptop case 13-inch
10,Noise-Canceling Headphones,Wireless headphones with ANC technology
11,Electric Kettle,1.7L stainless steel electric kettle
12,Coffee Maker,Automatic drip coffee machine
13,Action Camera,4K waterproof sports action camera
14,Yoga Mat,Non-slip yoga mat for workouts
15,Running Shoes,Lightweight breathable running shoes
16,Smart LED Bulb,Wi-Fi enabled multicolor smart bulb
17,External Hard Drive,2TB portable USB 3.0 hard drive
18,Wireless Earbuds,True wireless stereo earbuds with charging case
19,Digital Photo Frame,High-resolution digital picture display
20,Backpack,Laptop backpack with USB charging port
21,Graphic Tablet,Drawing tablet for digital artists
22,Wireless Router,Dual-band Wi-Fi router for home networks
23,Instant Camera,Retro instant-print camera
24,Portable Projector,Mini projector for home entertainment
25,Desk Lamp,Adjustable LED desk lamp with USB port
26,Air Purifier,HEPA air purifier for rooms up to 20m²
27,Travel Mug,Stainless steel insulated coffee mug
28,Gaming Monitor,27-inch 144Hz curved gaming monitor
29,Microphone,USB condenser microphone for streaming
30,Robot Vacuum Cleaner,Automatic robot vacuum cleaner with app control
31,Термокружка,Герметичная термокружка из нержавеющей стали
32,Фен для волос,Профессиональный фен с ионизацией и двумя скоростями
33,Электросамокат,Складной электросамокат с запасом хода до 25 км
34,Умная розетка,Wi-Fi розетка с управлением через мобильное приложение
35,Игровое кресло,Кресло для геймеров
36,Кроссовки,Мужские кроссовки для бега с амортизацией
37,Кроссовки,Женские кроссовки для фитнеса с дышащей сеткой
38,Рюкзак,Рюкзак для ноутбука
